capacity;failure_rate;id;margin;price;prod_cost;product_type;quality;warranty;market_share;attractiveness
10.492623311991721;0.04252798088681092;18377;633.7665842034021;828.8021034855201;195.03551928211797;auto-portee;Low;3ans;0.006360041749060895;0.6506482608150532
20.273730444538863;0.037896368225955296;19363;731.5768165928985;882.894915941766;151.31809934886763;auto-portee;Low;3 ans.;0.006840423036959984;0.6997924743016689
20.19045691648912;0.039111245954194296;19641;741.2182024972648;919.3555217086142;178.13731921134948;auto-portee;Low;3_ans;0.0061790166010061475;0.6321289330507346
27.220131037450034;0.04130311679867133;18728;654.2556353742241;817.0850969501104;162.82946157588628;auto-portee;Low;3 anss;0.007924828620013936;0.8107298917700951
16.370911056135107;0.037938171867880455;18722;703.0945265657465;844.5814645266526;141.48693796090603;auto-portee;Medium;3ans.;0.007405626037658374;0.7576141622593239
19.548212909002086;0.035428092007083675;18268;728.2846172351572;905.2975029654891;177.01288573033196;auto-portee;Medium;3 ans;0.007595620647289617;0.7770510884931896
12.242635494647624;0.03549164468149561;18448;757.3512858799036;930.615021607817;173.26373572791334;auto-portee;Hight;3_ans.;0.007488141434587315;0.7660556948184783
8.676313646712744;0.042065635322025;18943;633.5154494204178;818.0755906101691;184.56014118975136;auto-portee;Low;3 anss;0.005291343413692117;0.5413177342746714
15.26418049511829;0.038804178185440595;19640;646.6265667713467;816.7740281201634;170.14746134881673;auto-portee;Low;3_ans.;0.006063175222973637;0.6202780688392848
16.19054459695368;0.034045454119674474;19559;628.6733599514768;814.7996502793841;186.1262903279073;auto-portee;Low;3_ans.;0.005699927467576098;0.5831169102149285
14.028989091553113;0.03475724923552502;19560;637.20063592737;785.6156751090581;148.41503918168814;auto-portee;Low;3_anss;0.007457135690872668;0.7628837292844171
15.92641398668363;0.03748820656373134;18922;675.3284849133684;871.1479482435152;195.81946333014687;auto-portee;Medium;3 anss;0.007247714290919946;0.7414593935594491
14.318660287652609;0.03768390227703697;18858;648.8385259062188;819.8380992344531;170.99957332823436;auto-portee;Low;3_ans.;0.006918583983265914;0.7077885356144931
19.896179083486356;0.04093419949269789;19307;690.403796845931;830.3736418683482;139.9698450224172;auto-portee;Low;3 ans.;0.006047202368990483;0.6186440057191919
18.925359061602745;0.029028387725380182;19177;709.668291540398;874.528100755259;164.85980921486097;auto-portee;Low;3 ans;0.006398778749187942;0.6546111533173826
0.014319928339204303;0.04045323942498791;19275;723.2676667911771;932.0205588524691;208.75289206129202;auto-portee;Medium;3_ans.;0.007492462560189884;0.7664977568314345
11.181390748024546;0.03920830828014632;19478;684.8475746323099;852.0374973931749;167.18992276086493;auto-portee;Low;3 ans;0.006079923801174897;0.6219914904971512
22.824634301046924;0.03293161964208173;18969;687.2638340701063;848.5274853886548;161.26365131854845;auto-portee;Medium;3 ans.;0.007811399291393216;0.7991257862776449
25.622311663299573;0.038355997012290796;18965;697.1126188661517;882.0865321858616;184.97391331970988;auto-portee;Hight;3 anss;0.00858395449784952;0.8781601261919434
27.610500268443417;0.04160065624132526;19376;658.2733457337955;814.5240301224424;156.25068438864682;auto-portee;Low;3 ans;0.006101968350803257;0.6242467033466991
18.043486517894756;0.030079674129613123;19509;669.0706057598195;827.9855330129436;158.91492725312412;auto-portee;Low;3 anss;0.007234970833282917;0.7401557058046435
16.129713262582076;0.04086842771510456;18361;658.1617513907029;843.7299829509597;185.56823156025672;auto-portee;Low;3 ans.;0.006233666105201289;0.6377197147251197
8.211970225172607;0.03426177397141628;18977;650.0408329201802;834.984548044016;184.94371512383591;auto-portee;Low;3_ans.;0.006442173851640547;0.6590505813986287
27.484897022236918;0.03506901023499257;19257;638.9864466951296;838.865751588869;199.8793048937394;auto-portee;Medium;3_anss;0.008572050779807047;0.8769423459088639
21.7201483399883;0.035431452382186965;18495;679.3107891046727;840.4111563363508;161.1003672316781;auto-portee;Medium;3anss;0.007628713929424774;0.780436614455984
20.231973287582377;0.041614516571246644;18809;696.0691443189526;845.8589415666595;149.78979724770687;auto-portee;Low;3_ans.;0.006933646818603928;0.7093295015392953
20.92861795459612;0.03701437726588397;19104;608.114727369172;752.7393405063096;144.6246131371376;auto-portee;Low;3 ans.;0.005686086638448796;0.5817009585977482
17.062738602467004;0.03194778349514111;18876;742.3444907361644;891.3343114942959;148.98982075813146;auto-portee;Hight;3 anss;0.008584794226866154;0.8782460325815217
21.792639903048794;0.03832802659486183;18536;679.1876220458664;846.3295473476909;167.1419253018245;auto-portee;Low;3 ans;0.006935796700952727;0.7095494399086322
28.732437161993502;0.031812559740843856;19031;781.467462309752;964.9739260221818;183.50646371242973;auto-portee;Medium;3 ans;0.008000601657794978;0.8184816640373429
34.4379207053748;0.03933134698317248;19014;657.1028473148245;819.3502350067074;162.24738769188284;auto-portee;Low;3 ans;0.006337755170110668;0.6483682877573884
20.229085770461953;0.039931157863593573;18667;628.4702840444924;820.901872706123;192.43158866163057;auto-portee;Low;3ans;0.006814428977122437;0.6971332166281923
23.120780868730563;0.037998788731001994;19377;702.540647958484;913.5255893377588;210.98494137927483;auto-portee;Low;3 anss;0.006209210737544061;0.6352178691301411
14.09747159591644;0.03524590075768471;18632;615.4206861742001;773.2662468745496;157.84556070034944;auto-portee;Low;3 ans;0.0072115738746737;0.7377621381162401
20.921978130931652;0.03743095360909991;18439;668.0834376986143;830.1446580479288;162.06122034931462;auto-portee;Hight;3 ans.;0.009314306663616056;0.9528769889403161
28.37751521397475;0.033985138112980214;18783;707.671435774053;895.3966132538114;187.72517747975849;auto-portee;Medium;3anss;0.007140840669204701;0.7305259533652401
10.573637389151614;0.034297691143276215;18504;668.3621225276563;822.7351512231389;154.37302869548267;auto-portee;Low;3ans;0.005703505622843284;0.583482964494661
19.206157178348608;0.04209556013178824;19265;651.3266148647342;807.9222081148762;156.59559325014203;auto-portee;Low;3ans;0.007569737673907741;0.7744031952434124
19.65273157220663;0.036511381341178595;18425;687.0652356058242;849.4177787324777;162.35254312665342;auto-portee;Medium;3ans;0.008564616487271024;0.8761817990917512
19.33382318381367;0.037049043377361056;18285;669.6782211251634;836.6755047891202;166.9972836639568;auto-portee;Low;3_ans.;0.008053232647805025;0.8238659466358129
17.416557062276212;0.03384333256428443;19532;657.096455591086;797.3574958079544;140.2610402168683;auto-portee;Low;3_ans.;0.0069819475591115406;0.7142707887269144
15.933742548131848;0.040047361064084436;18749;647.0676693239307;785.3946074605656;138.32693813663494;auto-portee;Low;3_ans;0.006300614435660108;0.6445686972469615
11.593612917176934;0.035184877249699285;18327;683.2313854364052;890.0273016621093;206.7959162257041;auto-portee;Low;3_ans.;0.005821147264174059;0.5955180001675949
37.98608150356433;0.036063728261099354;19516;694.1884032255945;839.2961394274733;145.10773620187885;auto-portee;Low;3_ans;0.0065430362313665036;0.6693690564243707
12.957251393871074;0.032432517191976776;19343;679.2845759110319;835.0861321266631;155.80155621563117;auto-portee;Low;3_ans.;0.006148931822625969;0.6290511845858036
7.916720285279387;0.0338530324527838;19494;755.4774775216667;912.1504500528423;156.67297253117556;auto-portee;Low;3ans;0.005684925364675561;0.5815821573711686
18.133923558325595;0.03713678806316729;18634;651.5919489531808;801.8359737191204;150.24402476593957;auto-portee;Low;3 ans.;0.006645133865328843;0.6798139010640678
25.136228408551176;0.04402599077304041;19549;618.6162949100019;69.35976649455702;0;auto-portee;Medium;3ans.;0.00887401071717327;0.9078336066639
14.861087758018103;0.04241738772206115;18971;741.8394900153609;919.663054048632;177.82356403327117;auto-portee;Hight;3_ans.;0.00807522805673946;0.826116132268827
19.938788867903188;0.04192721684074575;18582;661.2671596190889;857.2946148850305;196.02745526594157;auto-portee;Low;3 ans.;0.006396851962485641;0.6544140381935709
23.355181948167946;0.040474548327253335;18289;703.5554929145633;888.152654829967;184.59716191540372;auto-portee;Low;3ans.;0.006277363367909136;0.6421900545601431
16.152791522539683;0.033872668193691516;18994;626.7372287939198;788.508633130763;161.77140433684315;auto-portee;Low;3_ans.;0.006890649273564391;0.7049307445809118
16.927673747935398;0.03596774468065205;18726;790.0128979417946;935.6616333197449;145.64873537795023;auto-portee;Hight;3anss;0.008934763131192689;0.9140487313567353
31.316982245055218;0.034406894026913507;18941;581.4008786594662;769.8063226865098;188.40544402704356;auto-portee;Low;3_ans;0.0067865843745676625;0.6942846437822632
19.88194519169822;0.04255095086540264;18871;667.1781041368645;791.8166061160548;124.6385019791903;auto-portee;Low;3 ans;0.0069353280005944075;0.7095014906836088
22.045226360249448;0.03583522232852358;19053;742.0334862999902;939.2993265275915;197.26584022760127;auto-portee;Medium;3ans;0.0070926459774715836;0.7255955152338708
14.255276213636584;0.03577125781449902;19547;705.1994570368438;902.6011544353973;197.40169739855358;auto-portee;Hight;3_ans;0.008478963288005507;0.8674192614647641
20.13877645982817;0.02994632637144544;18938;711.9904271651536;874.4332142535443;162.44278708839065;auto-portee;Low;3_anss;0.0059875761252453676;0.6125440910767412
11.754200786074769;0.03519547506197125;19220;736.6125542596458;884.2648831233031;147.65232886365732;auto-portee;Medium;3_ans.;0.007328601829393474;0.749734392105989
34.18101872529478;0.04193571367597907;18733;699.1095450080268;860.3478738447213;161.23832883669454;auto-portee;Low;3_anss;0.00693923371746601;0.709901055339001
10.527973506496568;0.03406025928601117;19386;669.9910837647412;857.3393817999198;187.34829803517863;auto-portee;Medium;3_ans;0.008282384920694575;0.8473088002679321
21.684447754743644;0.03755831140717512;19374;775.8396429280594;940.3175439551271;164.47790102706762;auto-portee;Medium;3ans.;0.007962172958843843;0.8145503115204142
15.62762300536269;0.0417141966691834;19448;657.1520010492663;359.6751568793686;-64;auto-portee;Low;3 ans;0.006838546187028524;0.6996004678350611
20.25905776023703;0.04142789391652479;19417;651.7564824810349;842.1800295018888;190.4235470208539;auto-portee;Low;3ans.;0.007692680066724616;0.7869805111200813
18.66944820164104;0.03629749756595975;19368;738.2792138448642;424.73855650087097;0;auto-portee;Medium;3_ans.;0.007104129951012643;0.7267703545991689
0.016349008156519303;0.038467737357768414;19032;646.3633269689958;797.2994060877974;150.93607911880156;auto-portee;Low;3 ans;0.007238336065766845;0.740499977548336
16.308347973185867;0.039657599550062116;19170;683.3516792910483;882.3940592506848;199.0423799596365;auto-portee;Medium;3ans.;0.007202146420943578;0.7367976858979314
25.431694639024617;0.02975649999857547;19437;716.4462655724669;871.8841718536905;155.43790628122358;auto-portee;Low;3 anss;0.005840975248771369;0.5975464528417637
19.01755783167549;0.039343602331620126;18872;648.4540473920262;858.592659151871;210.13861175984482;auto-portee;Low;3 anss;0.007338883905740133;0.7507862743665904
28.770564731492442;0.03471574857657159;18840;722.5985385878554;922.5541742026093;199.95563561475387;auto-portee;Hight;3ans.;0.008863763356462311;0.9067852759001099
0.027744213277221003;0.03762653595835611;18710;679.940453877842;842.3075265602273;162.3670726823853;auto-portee;Low;3_ans.;0.006453069954573315;0.6601652801227235
18.25221073283505;0.042979487735172704;19629;708.4527291703823;881.3967276190599;172.94399844867755;auto-portee;Medium;3_ans;0.007789637824782814;0.7968995335325377
25.088041302753933;0.040400042518741526;18861;688.4858504392845;846.0721640051552;157.58631356587068;auto-portee;Medium;3 ans;0.008056456782794702;0.824195783751108
32.82413412883981;0.040576619423115856;19309;722.4968206366636;900.6089343943127;178.11211375764907;auto-portee;Low;3_anss;0.006216517871532919;0.6359654073081876
